Stagione,Giocatore,Giornata,Voto,Fantavoto,Gol segnati,Gol subiti,Autoreti,Rigori segnati,Rigori sbagliati,Rigori parati,Assist,Player of the match
2017-18,Berisha,1,6,5,0,1,0,0,0,0,0,0
2017-18,Masiello,1,"5,5","5,5",0,0,0,0,0,0,0,0
2017-18,Toloi,1,6,"5,5",0,0,0,0,0,0,0,0
2017-18,Hateboer,1,6,6,0,0,0,0,0,0,0,0
2017-18,Gosens,1,"5,5","5,5",0,0,0,0,0,0,0,0
2017-18,Palomino,1,"6,5","6,5",0,0,0,0,0,0,0,0
2017-18,De Roon,1,6,6,0,0,0,0,0,0,0,0
2017-18,Kurtic,1,"5,5","5,5",0,0,0,0,0,0,0,0
2017-18,Ilicic,1,6,6,0,0,0,0,0,0,0,0
2017-18,Cristante,1,"6,5","6,5",0,0,0,0,0,0,0,0
2017-18,Freuler,1,6,6,0,0,0,0,0,0,0,0
2017-18,Gomez,1,"6,5","6,5",0,0,0,0,0,0,0,0
2017-18,Petagna,1,5,5,0,0,0,0,0,0,0,0
2017-18,Cornelius,1,"5,5","5,5",0,0,0,0,0,0,0,0
2017-18,Gasperini,1,6,6,0,0,0,0,0,0,0,0
2017-18,Belec,1,"6,5","4,5",0,2,0,0,0,0,0,0
2017-18,Letizia,1,"5,5","5,5",0,0,0,0,0,0,0,0
2017-18,Costa,1,6,6,0,0,0,0,0,0,0,0
2017-18,Venuti,1,5,5,0,0,0,0,0,0,0,0
2017-18,Di Chiara,1,6,6,0,0,0,0,0,0,0,0
2017-18,Lucioni,1,6,6,0,0,0,0,0,0,0,0
2017-18,D'alessandro,1,"6,5","6,5",0,0,0,0,0,0,0,0
2017-18,Cataldi,1,"5,5",6,0,0,0,0,0,0,1,0
2017-18,Viola,1,55,55,0,0,0,0,0,0,0,0
2017-18,Ciciretti,1,7,10,1,0,0,0,0,0,0,0
2017-18,Del Pinto,1,5,"4,5",0,0,0,0,0,0,0,0
2017-18,Puscas,1,5,5,0,0,0,0,0,0,0,0
2017-18,Coda M,1,6,6,0,0,0,0,0,0,0,0
2017-18,Cisse' K,1,55,55,0,0,0,0,0,0,0,0
2017-18,Baroni,1,"5,5","5,5",0,0,0,0,0,0,0,0
2017-18,Mirante,1,"5,5","4,5",0,1,0,0,0,0,0,0
2017-18,Maietta,1,"6,5","6,5",0,0,0,0,0,0,0,0
2017-18,Masina,1,5,5,0,0,0,0,0,0,0,0
2017-18,De Maio,1,"5,5",5,0,0,0,0,0,0,0,0
2017-18,Torosidis,1,6,6,0,0,0,0,0,0,0,0
2017-18,Taider,1,"6,5","6,5",0,0,0,0,0,0,0,0
2017-18,Poli,1,6,6,0,0,0,0,0,0,0,0
2017-18,Verdi,1,"6,5","7,5",0,0,0,0,0,0,1,0
2017-18,Pulgar,1,"5,5",5,0,0,0,0,0,0,0,0
2017-18,Donsah,1,6,6,0,0,0,0,0,0,0,0
2017-18,Di Francesco F.,1,7,10,1,0,0,0,0,0,0,0
2017-18,Krejci,1,55,55,0,0,0,0,0,0,0,0
2017-18,Palacio,1,55,55,0,0,0,0,0,0,0,0
2017-18,Destro,1,"5,5","5,5",0,0,0,0,0,0,0,0
2017-18,Donadoni,1,6,6,0,0,0,0,0,0,0,0
2017-18,Cragno,1,5,2,0,3,0,0,0,0,0,0
2017-18,Andreolli,1,5,5,0,0,0,0,0,0,0,0
2017-18,Padoin,1,"4,5","4,5",0,0,0,0,0,0,0,0
2017-18,Capuano,1,5,5,0,0,0,0,0,0,0,0
2017-18,Pisacane,1,5,5,0,0,0,0,0,0,0,0
2017-18,Cigarini,1,"5,5","5,5",0,0,0,0,0,0,0,0
2017-18,Ionita,1,"5,5","5,5",0,0,0,0,0,0,0,0
2017-18,Barella,1,"5,5","5,5",0,0,0,0,0,0,0,0
2017-18,Dessena,1,55,55,0,0,0,0,0,0,0,0
