Stagione,HomeTeam,AwayTeam,Quota_1,Quota_X,Quota_2
2023-2024,Atalanta,Fiorentina,1.57,4.39,5.22
2023-2024,Empoli,Roma,2.16,3.54,3.14
2023-2024,Frosinone,Udinese,2.5,3.01,3.02
2023-2024,Lazio,Sassuolo,1.31,5.44,8.76
2023-2024,Verona,Inter,6.72,4.99,1.41
2023-2024,Atalanta,Torino,2.44,3.5,2.7
2023-2024,Napoli,Lecce,1.35,5.26,7.7
2023-2024,Milan,Salernitana,1.11,9.82,17.79
2023-2024,Juventus,Monza,1.52,4.45,5.68
2023-2024,Genoa,Bologna,2.86,3.16,2.53
2023-2024,Cagliari,Fiorentina,4.73,3.83,1.7
2023-2024,Bologna,Juventus,2.71,3.04,2.78
2023-2024,Salernitana,Verona,5.11,3.89,1.65
2023-2024,Roma,Genoa,1.45,4.46,6.81
2023-2024,Inter,Lazio,1.55,4.38,5.5
2023-2024,Monza,Frosinone,2.97,3.45,2.3
2023-2024,Udinese,Empoli,1.93,3.19,4.33
2023-2024,Sassuolo,Cagliari,2.48,3.3,2.87
2023-2024,Torino,Milan,2.54,3.08,2.95
2023-2024,Lecce,Atalanta,3.68,3.55,1.98
2023-2024,Fiorentina,Napoli,2.1,3.42,3.46
2023-2024,Fiorentina,Monza,1.49,4.4,6.2
2023-2024,Lecce,Udinese,3.07,3.0,2.47
2023-2024,Atalanta,Roma,1.87,3.72,3.96
2023-2024,Juventus,Salernitana,1.14,8.46,16.2
2023-2024,Genoa,Sassuolo,2.3,3.32,3.13
2023-2024,Verona,Torino,3.08,2.86,2.6
2023-2024,Lazio,Empoli,1.64,3.79,5.52
2023-2024,Milan,Cagliari,1.57,4.26,5.42
2023-2024,Napoli,Bologna,1.92,3.38,4.16
2023-2024,Frosinone,Salernitana,1.36,5.0,8.08
2023-2024,Udinese,Roma,6.06,1.79,3.0
2023-2024,Milan,Inter,3.74,3.39,2.03
2023-2024,Roma,Bologna,2.35,2.92,3.49
2023-2024,Monza,Atalanta,3.93,3.69,1.89
2023-2024,Salernitana,Fiorentina,5.53,4.07,1.58
2023-2024,Torino,Frosinone,1.69,3.7,5.16
2023-2024,Sassuolo,Lecce,2.28,3.24,3.24
2023-2024,Verona,Udinese,2.75,2.9,2.89
2023-2024,Empoli,Napoli,5.0,3.97,1.66
2023-2024,Cagliari,Juventus,4.66,3.38,1.84
2023-2024,Genoa,Lazio,3.12,3.07,2.44
2023-2024,Atalanta,Verona,1.45,4.62,6.89
2023-2024,Fiorentina,Genoa,1.81,3.44,4.69
2023-2024,Inter,Cagliari,1.17,7.38,15.15
2023-2024,Sassuolo,Milan,4.39,3.86,1.75
2023-2024,Napoli,Frosinone,1.32,5.58,8.53
2023-2024,Bologna,Monza,1.51,4.01,6.76
2023-2024,Torino,Juventus,3.73,2.86,2.29
2023-2024,Lecce,Empoli,2.15,2.93,3.98
2023-2024,Lazio,Salernitana,1.32,5.19,9.47
2023-2024,Udinese,Inter,7.86,4.71,1.4
2023-2024,Juventus,Fiorentina,1.73,3.53,5.17
2023-2024,Cagliari,Atalanta,4.73,3.75,1.74
2023-2024,Verona,Genoa,2.66,2.87,3.01
2023-2024,Monza,Napoli,4.45,3.74,1.78
2023-2024,Frosinone,Bologna,4.21,3.48,1.88
2023-2024,Empoli,Torino,3.62,3.12,2.19
2023-2024,Roma,Lazio,2.1,3.16,3.83
2023-2024,Milan,Lecce,1.33,5.22,9.0
2023-2024,Lazio,Udinese,1.86,3.4,4.51
2023-2024,Fiorentina,Roma,2.54,3.22,2.86
2023-2024,Juventus,Atalanta,2.24,3.18,3.4
2023-2024,Milan,Empoli,1.41,4.65,7.74
2023-2024,Lecce,Verona,2.17,3.11,3.68
2023-2024,Genoa,Monza,2.11,3.16,3.75
2023-2024,Bologna,Inter,3.76,3.23,2.09
2023-2024,Cagliari,Salernitana,1.83,3.54,4.43
2023-2024,Sassuolo,Frosinone,2.38,3.42,2.92
2023-2024,Napoli,Torino,1.7,3.62,5.33
2023-2024,Inter,Genoa,1.25,5.88,12.22
2023-2024,Napoli,Juventus,2.29,3.13,3.39
2023-2024,Atalanta,Bologna,2.01,3.43,3.8
2023-2024,Empoli,Cagliari,2.25,3.26,3.33
2023-2024,Frosinone,Lecce,2.31,3.23,3.2
2023-2024,Verona,Sassuolo,2.37,3.31,3.02
2023-2024,Torino,Fiorentina,2.55,2.98,3.08
2023-2024,Monza,Roma,3.77,3.33,2.05
2023-2024,Udinese,Salernitana,1.66,3.71,5.54
2023-2024,Lazio,Milan,3.24,3.18,2.32
2023-2024,Inter,Atalanta,1.61,3.97,5.56
2023-2024,Sassuolo,Napoli,4.25,3.88,1.78
2023-2024,Fiorentina,Lazio,2.13,3.22,3.63
2023-2024,Roma,Torino,1.97,3.19,4.32
2023-2024,Milan,Atalanta,2.35,3.41,2.98
2023-2024,Lecce,Inter,6.85,4.31,1.48
2023-2024,Cagliari,Napoli,4.39,3.72,1.79
2023-2024,Juventus,Frosinone,1.31,5.45,9.27
2023-2024,Genoa,Udinese,2.47,2.91,3.25
2023-2024,Salernitana,Monza,3.26,3.21,2.3
2023-2024,Sassuolo,Torino,3.3,3.22,2.25
2023-2024,Roma,Inter,4.36,3.52,1.84
2023-2024,Cagliari,Lazio,3.57,3.23,2.13
2023-2024,Salernitana,Empoli,2.35,3.1,3.22
2023-2024,Roma,Cagliari,1.46,4.31,7.18
2023-2024,Inter,Juventus,1.83,3.43,4.64
2023-2024,Atalanta,Lazio,2.01,3.28,3.91
2023-2024,Napoli,Verona,1.44,4.43,7.53
2023-2024,Torino,Salernitana,1.57,3.85,6.39
2023-2024,Bologna,Sassuolo,1.62,3.83,5.68
2023-2024,Frosinone,Milan,4.51,3.93,1.73
2023-2024,Empoli,Genoa,2.89,2.9,2.73
2023-2024,Udinese,Monza,2.12,3.19,3.68
2023-2024,Lecce,Fiorentina,3.53,3.17,2.2
2023-2024,Salernitana,Roma,5.21,3.67,1.69
2023-2024,Fiorentina,Inter,4.46,3.44,1.85
2023-2024,Lazio,Napoli,2.36,3.02,3.33
2023-2024,Monza,Sassuolo,2.16,3.32,3.37
2023-2024,Verona,Frosinone,2.22,3.3,3.32
2023-2024,Genoa,Lecce,2.12,3.04,3.88
2023-2024,Milan,Bologna,1.71,3.56,5.24
2023-2024,Juventus,Empoli,1.26,5.52,12.24
2023-2024,Atalanta,Udinese,1.48,4.39,6.48
2023-2024,Cagliari,Torino,3.71,3.01,2.19
2023-2024,Lecce,Juventus,5.21,3.34,1.77
2023-2024,Salernitana,Genoa,3.23,2.99,2.44
2023-2024,Empoli,Monza,2.64,3.22,2.74
2023-2024,Frosinone,Cagliari,2.32,3.37,3.04
2023-2024,Udinese,Milan,4.03,3.59,1.88
2023-2024,Roma,Verona,1.44,4.37,7.64
2023-2024,Juventus,Roma,2.12,2.94,4.08
2023-2024,Milan,Sassuolo,1.5,4.71,5.59
2023-2024,Verona,Salernitana,1.89,3.42,4.25
2023-2024,Cagliari,Empoli,2.04,3.47,3.58
2023-2024,Udinese,Bologna,3.51,3.01,2.27
2023-2024,Atalanta,Lecce,1.35,4.97,8.43
2023-2024,Genoa,Inter,5.99,3.65,1.63
2023-2024,Lazio,Frosinone,1.59,3.97,5.74
2023-2024,Fiorentina,Torino,2.12,3.11,3.76
2023-2024,Napoli,Monza,1.56,4.16,5.73
2023-2024,Roma,Napoli,2.86,3.05,2.64
